River,Area (km²),Relief (km),Temp (°C),Q (km³/yr),Q (m³/s),Runoff (m/yr),Qs (MT/yr),Yield (T/km²/yr),Glacier area (%),Lithology,1-TE,Erosion
River,Area (km²),Relief (km),Temp (°C),Q (km³/yr),Q (m³/s),Runoff (m/yr),Qs (MT/yr),Yield (T/km²/yr),Glacier area (%),Lithology,1-TE,Erosion
Severnaya Dvina,"360,944.00",0.47,0.00,109.40,"3,469.00",0.30,4.50,12.00,0.00,2.00,1.00,1.00
Seyhan,"22,391.00",3.63,9.00,5.90,186.00,0.26,5.20,231.00,0.00,1.00,1.00,1.00
Shkumbini (Albania),"2,400.00",2.38,14.00,1.90,60.00,0.79,7.20,"2,983.00",0.00,2.00,1.00,2.00
Sinni (Italy),"1,100.00",2.20,12.00,0.70,21.00,0.60,2.50,"2,259.00",0.00,0.50,1.00,1.00
Skagit,"8,483.00",2.80,6.00,13.90,441.00,1.64,0.30,41.00,0.00,0.50,0.30,1.00
Skeena (Canada),"58,382.00",2.70,0.00,54.70,"1,734.00",0.94,11.00,189.00,11.00,2.00,1.00,1.00
Solo (India),"16,000.00",3.27,24.00,64.00,"2,029.00",4.00,19.00,"1,187.00",0.00,1.00,1.00,1.00
Song Hong (Red; Vietnam),"150,000.00",3.14,22.00,119.30,"3,784.00",0.80,109.40,729.00,0.00,1.00,0.60,2.00
Soummam (Algeria),"8,500.00",2.20,14.10,0.80,25.00,0.09,4.10,482.00,0.00,2.00,1.00,1.00
Squamish (Canada),"3,600.00",1.39,5.40,7.90,250.00,2.19,1.80,499.00,12.00,1.00,1.00,1.00
St. Jean (Canada),"5,600.00",0.99,5.00,3.40,107.00,0.60,0.30,45.00,0.00,0.50,1.00,1.00
St. Lawrence,"1,080,000.00",1.07,6.40,338.10,"10,722.00",0.31,4.60,4.00,0.00,1.00,0.30,1.00
Stikine,"57,316.00",3.20,-5.40,52.70,"1,671.00",0.92,17.90,313.00,15.00,2.00,1.00,1.00
Susitna (USA),"50,000.00",6.19,-6.00,40.10,"1,270.00",0.80,20.90,418.00,20.00,1.50,1.00,1.00
Susquehanna,"72,147.00",1.64,8.00,31.80,"1,009.00",0.44,1.80,25.00,0.00,2.00,1.00,0.30
Taan (Da-An ;Taiwan),633.00,3.30,17.30,1.50,49.00,2.44,5.00,"7,872.00",0.00,1.50,1.00,2.00
Tachia (Taiwan),"1,200.00",3.64,23.50,2.60,82.00,2.15,4.00,"3,311.00",0.00,1.50,0.50,2.00
Tafna (Algeria),"6,900.00",2.10,14.40,0.30,9.00,0.04,2.00,293.00,0.00,2.00,1.00,1.00
Tagus (Portugal),"76,000.00",2.00,11.70,9.60,303.00,0.13,0.40,5.00,0.00,1.00,0.10,0.30
Tamar (Australia),"11,670.00",1.50,8.30,3.10,98.00,0.26,0.10,12.00,0.00,0.50,0.80,1.00
Tana (Kenya),"98,896.00",4.55,25.00,4.30,137.00,0.04,31.90,322.00,0.00,1.00,1.00,1.00
Tano (Ghana),"15,800.00",0.67,25.90,4.80,151.00,0.30,0.30,22.00,0.00,0.50,1.00,1.00
Tanshui (Taiwan),"2,700.00",3.53,18.70,6.90,220.00,2.57,11.00,"4,076.00",0.00,1.50,1.00,2.00
Tarsus (Italy),"57,000.00",1.00,15.10,22.80,723.00,0.40,1.00,2.00,0.00,0.75,1.00,1.00
Tarsus (Turkey),"1,400.00",3.59,8.50,0.10,3.00,0.07,0.10,90.00,0.00,2.00,0.20,0.30
Tayo (Italy),210.00,2.50,9.20,0.20,2.00,0.23,0.10,330.00,0.00,1.50,0.50,1.00
Tay (UK),"6,500.00",1.43,5.40,6.00,190.00,0.92,0.30,46.00,0.00,0.50,1.00,0.30
Taz (Russia),"171,031.00",0.27,-10.00,44.20,"1,400.00",0.26,0.60,3.00,0.00,2.00,1.00,1.00
Tesino (Italy),110.00,0.75,14.70,0.10,1.00,0.40,1.00,"1,089.00",0.00,2.00,1.00,1.00
Thames,"17,330.00",0.27,10.00,2.80,88.00,0.16,0.10,5.00,0.00,1.00,1.00,0.30
Tiber (Italy),"16,000.00",2.20,11.00,7.20,228.00,0.45,6.00,374.00,0.00,2.00,0.70,1.00
Tigris-Euphrates (Iraq),"1,050,000.00",2.96,10.80,47.30,"1,500.00",0.05,53.00,50.00,0.00,2.00,1.00,1.00
Tone,"17,402.00",2.20,14.00,6.00,189.00,0.34,3.00,172.00,0.00,1.00,1.00,1.00
Touchien (Tou-Cian ;Taiwan),499.00,2.23,19.50,0.90,30.00,1.90,2.60,"5,182.00",0.00,1.50,1.00,2.00
Trent,"9,568.00",0.47,10.00,2.60,82.00,0.27,0.10,10.00,0.00,0.50,1.00,0.30
Trigno (Italy),"1,240.00",1.40,9.80,0.10,3.00,0.08,0.40,336.00,0.00,2.00,1.00,1.00
Tronto (Italy),"1,200.00",2.26,14.00,0.30,9.00,0.24,1.10,912.00,0.00,2.00,0.70,1.00
Tsengwen (Zheng-Wen ; Taiwan),"1,200.00",2.44,23.20,2.40,76.00,2.00,17.00,"14,191.00",0.00,2.00,1.00,2.00
Tukituki (New Zealand),"2,400.00",0.60,9.30,1.30,41.00,0.54,1.00,414.00,0.00,2.00,1.00,2.00
Tutaekuri (New Zealand),790.00,1.37,9.80,0.50,16.00,0.63,0.20,263.00,0.00,1.00,1.00,1.00
Tuy (Venezuela),"3,600.00",3.80,22.00,2.00,62.00,0.54,12.00,"3,329.00",0.00,2.00,1.00,1.00
Tyne (UK),"2,200.00",0.60,7.60,1.50,47.00,0.67,0.10,57.00,0.00,1.00,1.00,1.00
Uruguay,"355,505.00",1.74,18.00,139.20,"4,415.00",0.39,9.90,28.00,0.00,0.75,0.40,1.00
Usk (UK),910.00,0.89,7.70,0.90,30.00,1.04,0.00,45.00,0.00,0.50,1.00,0.30
Var (France),"2,820.00",2.35,7.50,1.30,41.00,0.46,1.50,537.00,0.00,2.00,1.00,1.00
Volga,"1,476,411.00",1.60,1.70,258.60,"8,200.00",0.18,19.00,13.00,0.00,2.00,1.00,2.00
Volta,"398,071.00",0.73,27.00,39.70,"1,260.00",0.10,18.90,47.00,0.00,0.50,1.00,1.00
Volturno (Italy),"5,500.00",2.46,14.00,4.20,134.00,0.77,4.20,757.00,0.00,2.00,0.70,1.00
Waiapu (New Zealand),"1,700.00",2.10,11.30,2.80,88.00,1.64,28.00,"16,454.00",0.00,3.00,1.00,8.00
Waiau (New Zealand),"4,620.00",2.00,2.70,3.00,95.00,0.65,2.60,560.00,10.00,2.00,1.00,2.00
Waimakariri (New Zealand),"3,600.00",2.27,4.30,3.80,120.00,1.05,3.10,857.00,2.00,1.50,1.00,2.00
Waioeka (New Zealand),640.00,0.75,12.20,1.00,32.00,1.55,0.70,"1,084.00",0.00,2.00,1.00,2.00
Waipaoa (New Zealand),"2,200.00",1.40,9.60,6.00,190.00,2.72,14.90,"6,780.00",0.00,3.00,1.00,8.00
Wanganui (New Zealand),"6,600.00",1.97,11.80,6.70,211.00,1.01,4.70,707.00,0.00,2.00,1.00,1.00
Whatatane (New Zealand),"1,600.00",1.20,12.70,6.70,211.00,4.16,0.70,430.00,0.00,1.00,1.00,1.00
Wisla,"180,583.00",2.29,7.00,33.10,"1,050.00",0.18,2.50,14.00,0.00,1.50,1.00,0.30
Wye (UK),"4,400.00",0.60,8.20,2.40,76.00,0.54,0.20,47.00,0.00,1.50,1.00,1.00
Yalu,"51,165.00",2.41,4.00,24.90,788.00,0.49,4.70,92.00,0.00,1.00,1.00,1.00
Yana,"224,993.00",2.40,-13.50,31.80,"1,009.00",0.14,3.00,13.00,0.00,2.00,0.80,1.00
Yangtze (Asia),"1,794,243.00",4.38,11.00,892.50,"28,300.00",0.50,479.30,267.00,0.00,2.00,0.50,2.00
Yarra (Australia),"4,100.00",1.20,12.70,1.10,34.00,0.26,0.20,38.00,0.00,0.50,1.00,1.00
Yenisei,"2,578,730.00",3.43,-10.00,616.60,"19,552.00",0.24,13.00,5.00,0.00,0.75,1.00,1.00
Yesil-Irmak (Turkey),"65,792.00",3.02,10.00,7.20,227.00,0.11,19.00,289.00,0.00,2.00,1.00,1.00
Yodo (Japan),"7,120.00",1.50,17.10,8.90,281.00,1.24,1.90,266.00,0.00,1.00,0.70,1.00
Yukon,"855,715.00",5.79,-7.00,208.80,"6,622.00",0.24,53.70,63.00,3.00,1.50,1.00,1.00
Zaire/Congo,"3,698,803.00",1.10,23.00,"1,267.70","40,200.00",0.34,42.80,12.00,0.00,0.50,1.00,1.00
Zambezi,"1,363,582.00",2.35,24.00,99.50,"3,154.00",0.07,19.90,15.00,0.00,0.50,0.30,1.00
Zhujiang (Pearl; China),"370,000.00",3.50,18.00,258.60,"8,199.00",0.70,77.50,210.00,0.00,1.50,1.00,1.50
